code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc,date
002334,英威腾,-2.505,4.67,4.8,4.83,4.67,4.79,4606693,0.72784,21755153,-11.826,2.108,351868.25307,295575.386113,2021-03-10
002333,ST罗普,0.0,5.26,5.25,5.26,5.19,5.26,717000,0.16771000000000003,3744498,53.949,2.111,343269.4936,224876.8876,2021-03-10
002332,仙琚制药,-4.15,12.01,12.51,12.71,11.89,12.53,12360049,1.3654600000000001,151512389,26.689,3.427,1188035.044066,1087137.142491,2021-03-10
002331,皖通科技,0.334,15.0,15.28,15.54,14.6,14.95,10685740,2.78982,161268770,36.666,2.806,618108.7035,574539.3915,2021-03-10
002330,得利斯,-1.375,5.74,5.86,5.86,5.74,5.82,1529500,0.30476000000000003,8850993,358.75,2.129,288148.0,288072.7486,2021-03-10
002329,皇氏集团,-1.031,3.84,3.91,3.93,3.84,3.88,6116103,1.14722,23659705,66.093,1.459,321653.77344,204720.125952,2021-03-10
002328,新朋股份,-1.944,4.54,4.7,4.71,4.53,4.63,4192445,0.76041,19237762,32.429,1.358,349589.08,250309.220784,2021-03-10
002327,富安娜,-0.505,7.88,7.93,7.99,7.75,7.92,5776814,1.13155,45338431,12.918,1.916,671833.61524,402292.601528,2021-03-10
002326,永太科技,-0.901,8.8,8.99,9.12,8.75,8.88,5786009,0.86348,51290141,28.387,2.254,771378.3396,589671.36624,2021-03-10
002325,洪涛股份,-4.237,2.26,2.36,2.37,2.25,2.36,9848752,1.04354,22671429,77.397,0.9460000000000001,282478.924822,213295.112358,2021-03-10
002324,普利特,0.777,16.87,16.86,17.11,16.67,16.74,3381272,0.68476,56949821,54.036,5.298,1425602.607597,833022.392209,2021-03-10
002323,*ST雅博,0.749,2.69,2.68,2.72,2.66,2.67,1390368,0.43775000000000003,3743148,-6.256,22.231,200601.277464,85439.410125,2021-03-10
002322,理工环科,-1.283,10.77,10.92,11.06,10.68,10.91,2513776,0.7313900000000001,27144095,12.821,1.4,427205.194785,370162.094415,2021-03-10
002321,华英农业,-1.587,3.1,3.18,3.19,3.08,3.15,11023557,2.07582,34353545,27.051,0.811,165630.241,164624.32045,2021-03-10
002320,海峡股份,-2.477,8.66,8.89,8.99,8.6,8.88,8766553,0.58996,76375816,39.15,3.227,1286837.426628,1286837.426628,2021-03-10
002319,*ST乐通,-0.247,8.09,8.1,8.18,8.03,8.11,386500,0.19325,3128448,202.25,11.39,161800.0,161800.0,2021-03-10
002318,久立特材,0.737,13.67,13.5,13.87,13.29,13.57,14336436,1.5035500000000002,195135754,23.169,3.273,1335792.37424,1303439.61258,2021-03-10
002317,众生药业,-2.076,8.02,8.27,8.31,7.98,8.19,12879355,1.80637,103870222,20.564,1.5510000000000002,653197.782952,571822.31481,2021-03-10
002316,亚联发展,-3.188,3.34,3.46,3.51,3.33,3.45,5286134,1.8016,17850643,-8.85,1.924,131302.08,98000.156762,2021-03-10
